fold,model,train_period,valid_season,raw_feature_count,transformed_feature_count,pitcher_id,penalty,C,l1_ratio,solver,overall_brier,known_brier,unknown_brier,overall_logloss,coef_total_count,coef_nonzero_count,coef_zero_count,coefficient_sparsity,n_iter,converged,convergence_warning,warning_message,preprocess_seconds,fit_seconds,predict_seconds
1,LR-C-Historical,2019~2021,2022,46,683,False,l1,0.001,,saga,0.24486241761611782,0.24500680324445956,0.24408943738523078,0.6826877083102294,683,26,657,0.9619326500732065,35,True,False,,12.647727327999746,67.20489306299896,0.044109731001299224
2,LR-C-Historical,2019~2022,2023,46,771,False,l1,0.001,,saga,0.24989255975633184,0.24991343851900233,0.24976212326412742,0.6929881276876761,771,25,746,0.9675745784695201,30,True,False,,17.471264092000638,79.59517201900235,0.034981002998392796
3,LR-C-Historical,2019~2023,2024,46,842,False,l1,0.001,,saga,0.24912917806396326,0.2493862385039035,0.2480919145794593,0.6914161083585089,842,36,806,0.9572446555819477,34,True,False,,21.46951528199861,113.38076519300012,0.04118094600198674
1,LR-C-Historical,2019~2021,2022,46,683,False,l1,0.01,,saga,0.24483770131198976,0.24496327428052794,0.24416543618886982,0.6826353024412526,683,92,591,0.8653001464128843,35,True,False,,12.647727327999746,78.94221599199955,0.03192934099934064
2,LR-C-Historical,2019~2022,2023,46,771,False,l1,0.01,,saga,0.24994355914030714,0.24995327630888234,0.24988285279467176,0.693102902068581,771,94,677,0.8780804150453956,31,True,False,,17.471264092000638,91.42518294000183,0.04687233199729235
3,LR-C-Historical,2019~2023,2024,46,842,False,l1,0.01,,saga,0.2491803866717085,0.2494349333266547,0.2481532665503092,0.6915238073569433,842,97,745,0.8847980997624703,23,True,False,,21.46951528199861,86.90090081499875,0.053869473002123414
1,LR-C-Historical,2019~2021,2022,46,683,False,l1,0.1,,saga,0.2448294239154623,0.24495354698446065,0.24416492094771733,0.6826179731450028,683,350,333,0.48755490483162517,34,True,False,,12.647727327999746,109.91532959399956,0.045817584001270006
2,LR-C-Historical,2019~2022,2023,46,771,False,l1,0.1,,saga,0.2500011142681589,0.25001217515138385,0.24993201329549444,0.6932209341921256,771,376,395,0.5123216601815823,28,True,False,,17.471264092000638,126.01464900599967,0.03913763200034737
3,LR-C-Historical,2019~2023,2024,46,842,False,l1,0.1,,saga,0.24920299183854844,0.24945595303776966,0.24818226918278072,0.6915711685360452,842,427,415,0.49287410926365793,26,True,False,,21.46951528199861,158.6913835000014,0.052064195999264484
1,LR-C-Historical,2019~2021,2022,46,683,False,l1,1.0,,saga,0.24481259787156492,0.24494492526929593,0.24410417236117535,0.6825855445339519,683,637,46,0.06734992679355783,24,True,False,,12.647727327999746,105.97337684400009,0.03843839399996796
2,LR-C-Historical,2019~2022,2023,46,771,False,l1,1.0,,saga,0.25004955779461163,0.2500634372194216,0.24996284846635297,0.6933209170497912,771,702,69,0.08949416342412451,22,True,False,,17.471264092000638,138.92291735000254,0.03938696200202685
3,LR-C-Historical,2019~2023,2024,46,842,False,l1,1.0,,saga,0.2492380576177874,0.2494957519656975,0.2481982362539385,0.6916429698927943,842,786,56,0.0665083135391924,17,True,False,,21.46951528199861,143.99485334600104,0.0410096359992167
1,LR-C-Historical,2019~2021,2022,46,683,False,l1,10.0,,saga,0.24479934324042307,0.2449349994692821,0.24407309656124088,0.6825594461145691,683,682,1,0.0014641288433382138,23,True,False,,12.647727327999746,107.25092211799893,0.046959043998867855
2,LR-C-Historical,2019~2022,2023,46,771,False,l1,10.0,,saga,0.2500837474104894,0.25010124268026174,0.24997444871040303,0.6933919395773136,771,769,2,0.0025940337224383916,37,True,False,,17.471264092000638,249.58210263300134,0.042491641997912666
3,LR-C-Historical,2019~2023,2024,46,842,False,l1,10.0,,saga,0.24924905648798787,0.24950767065760546,0.2482055235554914,0.6916656285114626,842,840,2,0.0023752969121140144,17,True,False,,21.46951528199861,153.7082160099999,0.044578244000149425
1,LR-C-Historical,2019~2021,2022,46,683,False,l1,100.0,,saga,0.24479016931851255,0.24492954627968525,0.24404400339559476,0.682540994248381,683,683,0,0.0,42,True,False,,12.647727327999746,197.48644500299997,0.036283412999182474
2,LR-C-Historical,2019~2022,2023,46,771,False,l1,100.0,,saga,0.2501079829228961,0.25012726927740486,0.24998749472782245,0.6934444855552507,771,770,1,0.0012970168612191958,20,True,False,,17.471264092000638,135.41289818400037,0.04905617400072515
3,LR-C-Historical,2019~2023,2024,46,842,False,l1,100.0,,saga,0.24921307161011844,0.2494628270146852,0.2482052846426843,0.691592755106621,842,842,0,0.0,13,True,False,,21.46951528199861,117.93592904400066,0.041748990002815844
1,LR-C-Historical,2019~2021,2022,46,683,False,l2,0.001,,saga,0.24420293646799815,0.24432269345400215,0.24356180768146282,0.6813077219258099,683,683,0,0.0,321,True,False,,12.647727327999746,569.1478931129986,0.05281150299924775
2,LR-C-Historical,2019~2022,2023,46,771,False,l2,0.001,,saga,0.2513676974658107,0.25143026333768587,0.2509768279019414,0.6960745637037974,771,771,0,0.0,310,True,False,,17.471264092000638,741.8049325049979,0.05358687199986889
3,LR-C-Historical,2019~2023,2024,46,842,False,l2,0.001,,saga,0.24986599235584883,0.250136084711488,0.24877614384390595,0.6929206836903785,842,842,0,0.0,264,True,False,,21.46951528199861,802.414328982999,0.17175226299877977
1,LR-C-Historical,2019~2021,2022,46,683,False,l2,0.01,,saga,0.24417584642992882,0.24430269923876663,0.24349672957743917,0.6812532188780601,683,683,0,0.0,16,True,False,,12.647727327999746,33.12905718799993,0.030390838999664993
2,LR-C-Historical,2019~2022,2023,46,771,False,l2,0.01,,saga,0.25141605838732983,0.251493364600847,0.25093310106481154,0.6961795154555754,771,771,0,0.0,21,True,False,,17.471264092000638,49.38364373899822,0.03282172699982766
3,LR-C-Historical,2019~2023,2024,46,842,False,l2,0.01,,saga,0.24976860086922645,0.2500252455492213,0.2487330150159041,0.6927234970190281,842,842,0,0.0,12,True,False,,21.46951528199861,35.62489434899908,0.033925544001249364
1,LR-C-Historical,2019~2021,2022,46,683,False,l2,0.1,,saga,0.24415710207822824,0.2442889558912184,0.24345121194235333,0.6812144375958126,683,683,0,0.0,30,True,False,,12.647727327999746,52.07523754899921,0.040720585000599385
2,LR-C-Historical,2019~2022,2023,46,771,False,l2,0.1,,saga,0.2514582879669768,0.2515418508490535,0.2509362431797143,0.6962706921983869,771,771,0,0.0,19,True,False,,17.471264092000638,46.39067712999895,0.043763540001236834
3,LR-C-Historical,2019~2023,2024,46,842,False,l2,0.1,,saga,0.24992552840547713,0.25020362783782346,0.2488033705724741,0.6930456792927857,842,842,0,0.0,9,True,False,,21.46951528199861,27.33362886699979,0.03819295100038289
1,LR-C-Historical,2019~2021,2022,46,683,False,l2,1.0,,saga,0.24414188851952767,0.2442709111844061,0.24345115516584906,0.6811839162408233,683,683,0,0.0,22,True,False,,12.647727327999746,38.62015039399921,0.03170022899939795
2,LR-C-Historical,2019~2022,2023,46,771,False,l2,1.0,,saga,0.25151484818462766,0.251608137550634,0.2509320388556491,0.6963942308357676,771,771,0,0.0,15,True,False,,17.471264092000638,35.19483629200113,0.03212632500071777
3,LR-C-Historical,2019~2023,2024,46,842,False,l2,1.0,,saga,0.2499389399523803,0.2502181103340266,0.2488124607364257,0.6930735081983999,842,842,0,0.0,9,True,False,,21.46951528199861,27.280716352997842,0.030010402002517367
1,LR-C-Historical,2019~2021,2022,46,683,False,l2,10.0,,saga,0.2441360125714118,0.24425542343284073,0.2434967367910044,0.6811738845252614,683,683,0,0.0,13,True,False,,12.647727327999746,23.541889693000485,0.029267568999785
2,LR-C-Historical,2019~2022,2023,46,771,False,l2,10.0,,saga,0.25160929589813136,0.2517164975240495,0.2509395721092221,0.69660266310626,771,771,0,0.0,10,True,False,,17.471264092000638,24.405866821998643,0.031100210999284172
3,LR-C-Historical,2019~2023,2024,46,842,False,l2,10.0,,saga,0.2499378368698043,0.25021663763838714,0.24881284907794504,0.6930710315533435,842,842,0,0.0,9,True,False,,21.46951528199861,27.383046040999034,0.031405661000462715
1,LR-C-Historical,2019~2021,2022,46,683,False,l2,100.0,,saga,0.2441316317944643,0.24426569345431462,0.24341392177045157,0.6811625357369294,683,683,0,0.0,15,True,False,,12.647727327999746,26.6516332830015,0.028015437001158716
2,LR-C-Historical,2019~2022,2023,46,771,False,l2,100.0,,saga,0.2523627058705858,0.252541047179682,0.2512485491008151,0.698211480130848,771,771,0,0.0,8,True,False,,17.471264092000638,18.515428163998877,0.028651994001847925
3,LR-C-Historical,2019~2023,2024,46,842,False,l2,100.0,,saga,0.2497354123828784,0.24998629455614868,0.24872307879585603,0.6926558733661119,842,842,0,0.0,10,True,False,,21.46951528199861,30.018649810997886,0.031122666998271598
1,LR-D-PitcherID-Historical,2019~2021,2022,47,1243,True,elasticnet,0.001,0.25,saga,0.24489526261290315,0.24503599527427666,0.24414183883845075,0.6827571294641172,1243,62,1181,0.9501206757843926,32,True,False,,13.281633615000828,65.78542733900031,0.042131476000577095
2,LR-D-PitcherID-Historical,2019~2022,2023,47,1419,True,elasticnet,0.001,0.25,saga,0.2498910976289204,0.24990039392847033,0.24983302059040438,0.6929874457394756,1419,66,1353,0.9534883720930233,33,True,False,,17.57800728100119,96.17633330800163,0.049868517999129836
3,LR-D-PitcherID-Historical,2019~2023,2024,47,1553,True,elasticnet,0.001,0.25,saga,0.24912227946043133,0.24937229348260098,0.24811344894621087,0.6914023410672488,1553,68,1485,0.9562137797810689,47,True,False,,21.018469179998647,172.49885977499798,0.04267812699981732
1,LR-D-PitcherID-Historical,2019~2021,2022,47,1243,True,elasticnet,0.01,0.25,saga,0.24485806841501023,0.24498516188306185,0.2441776631738018,0.6826781156666261,1243,349,894,0.7192276749798874,41,True,False,,13.281633615000828,136.48697581300075,0.038015914000425255
2,LR-D-PitcherID-Historical,2019~2022,2023,47,1419,True,elasticnet,0.01,0.25,saga,0.24991927817249923,0.24992740900389726,0.2498684821965588,0.6930532811233635,1419,395,1024,0.7216349541930938,29,True,False,,17.57800728100119,137.15834888500103,0.047577833000104874
3,LR-D-PitcherID-Historical,2019~2023,2024,47,1553,True,elasticnet,0.01,0.25,saga,0.2491778863593877,0.24942962360113222,0.2481621024892128,0.6915185987357837,1553,467,1086,0.6992916934964585,28,True,False,,21.018469179998647,178.89512592900428,0.0437204450063291
1,LR-D-PitcherID-Historical,2019~2021,2022,47,1243,True,elasticnet,0.1,0.25,saga,0.24483920199388487,0.24496362794971488,0.2441730774967965,0.6826387464960161,1243,1026,217,0.1745776347546259,20,True,False,,13.281633615000828,120.03666274699935,0.036447436001253664
2,LR-D-PitcherID-Historical,2019~2022,2023,47,1419,True,elasticnet,0.1,0.25,saga,0.24997843577629167,0.24998932846064015,0.24991038559728726,0.6931741601873118,1419,1144,275,0.1937984496124031,26,True,False,,17.57800728100119,227.93305708000116,0.04886843200074509
